"id_cliente","provincia","edad","antiguedad_meses","canal_adquisicion","tipo_poliza","prima_mensual_usd","siniestros_reclamados","score_satisfaccion","churn","Total_Primas_Provincia","Porcentaje_Aporte_Cliente","Ranking_Costo_Provincia","en_riesgo_critico","cartera_vencida_usd","rango_edad"
"EC-10000","Guayas",20,14,"Asesor Directo","Individual Premium",165.8,4,5,"Si",53241.88,0.311408988563139,56,0,0,"18-30 Jóvenes"
"EC-10001","Guayas",31,58,"Banca Seguros","Individual Premium",66.42,0,2,"Si",53241.88,0.124751417493146,364,0,0,"31-55 Adultos"
"EC-10002","Pichincha",23,10,"Asesor Directo","Individual Premium",49.49,0,4,"No",59669.67,0.0829399592791447,483,0,0,"18-30 Jóvenes"
"EC-10003","Pichincha",67,41,"Asesor Directo","Individual Premium",21.4,0,4,"Si",59669.67,0.0358641165603899,570,0,0,"56+ Adultos Mayores"
"EC-10004","Guayas",26,9,"Banca Seguros","Individual Premium",42.22,0,4,"No",53241.88,0.0792984770635447,436,0,0,"18-30 Jóvenes"
"EC-10005","Pichincha",55,28,"Asesor Directo","Familiar Estándar",95.26,0,2,"Si",59669.67,0.159645595492651,310,0,0,"31-55 Adultos"
"EC-10006","Guayas",62,22,"Banca Seguros","Familiar Estándar",20.61,0,4,"No",53241.88,0.0387101281923178,505,0,0,"56+ Adultos Mayores"
"EC-10007","Azuay",44,49,"Broker Digital","Individual Premium",50.75,0,3,"No",16510.84,0.307373822288872,128,0,0,"31-55 Adultos"
"EC-10008","Pichincha",51,26,"Broker Digital","Corporativo Empresarial",163.64,0,3,"Si",59669.67,0.274243179156178,62,0,0,"31-55 Adultos"
"EC-10009","Guayas",64,3,"Banca Seguros","Familiar Estándar",46.89,0,3,"No",53241.88,0.0880697676340505,426,0,0,"56+ Adultos Mayores"
"EC-10010","Pichincha",47,51,"Broker Digital","Corporativo Empresarial",28.66,0,3,"No",59669.67,0.048031101898167,544,0,0,"31-55 Adultos"
"EC-10011","Guayas",40,18,"Asesor Directo","Corporativo Empresarial",71.77,1,3,"Si",53241.88,0.13479989812531,349,0,0,"31-55 Adultos"
"EC-10012","Pichincha",52,39,"Banca Seguros","Familiar Estándar",155.61,0,1,"No",59669.67,0.260785755979545,85,0,0,"31-55 Adultos"
